location,count,link
"<p>calhoun county (miss.)",2,"http://localhost:4000/browse.html#%3Cp%3Ecalhoun%20county%20(miss.)"
"<p>calhoun county (miss.)</p>",1,"http://localhost:4000/browse.html#%3Cp%3Ecalhoun%20county%20(miss.)%3C/p%3E"
"<p>hinds county, (miss.)</p>",1,"http://localhost:4000/browse.html#%3Cp%3Ehinds%20county,%20(miss.)%3C/p%3E"
"agricultural education--societies, etc",1,"http://localhost:4000/browse.html#agricultural%20education--societies,%20etc"
"alcorn county (miss.)",1,"http://localhost:4000/browse.html#alcorn%20county%20(miss.)"
"alecandria county",2,"http://localhost:4000/browse.html#alecandria%20county"
"amite county (miss.)",1,"http://localhost:4000/browse.html#amite%20county%20(miss.)"
"birth",2,"http://localhost:4000/browse.html#birth"
"birthdays",1,"http://localhost:4000/browse.html#birthdays"
"breast--cancer",1,"http://localhost:4000/browse.html#breast--cancer"
"business education",1,"http://localhost:4000/browse.html#business%20education"
"calhoun county (miss.)",46,"http://localhost:4000/browse.html#calhoun%20county%20(miss.)"
"carroll county (miss.)",1,"http://localhost:4000/browse.html#carroll%20county%20(miss.)"
"charities",1,"http://localhost:4000/browse.html#charities"
"chickasaw county (miss.)",1,"http://localhost:4000/browse.html#chickasaw%20county%20(miss.)"
"children",1,"http://localhost:4000/browse.html#children"
"church",1,"http://localhost:4000/browse.html#church"
"church attendance",7,"http://localhost:4000/browse.html#church%20attendance"
"circus",1,"http://localhost:4000/browse.html#circus"
"civil service",1,"http://localhost:4000/browse.html#civil%20service"
"clothing and dress",5,"http://localhost:4000/browse.html#clothing%20and%20dress"
"college registrars",1,"http://localhost:4000/browse.html#college%20registrars"
"college teachers, death, burial insurance",1,"http://localhost:4000/browse.html#college%20teachers,%20death,%20burial%20insurance"
"cooking",1,"http://localhost:4000/browse.html#cooking"
"correspondence",15,"http://localhost:4000/browse.html#correspondence"
"cotton picking",1,"http://localhost:4000/browse.html#cotton%20picking"
"court proceedings",1,"http://localhost:4000/browse.html#court%20proceedings"
"crops",1,"http://localhost:4000/browse.html#crops"
"dating",2,"http://localhost:4000/browse.html#dating"
"dating (social customs)",1,"http://localhost:4000/browse.html#dating%20(social%20customs)"
"dating, dance",1,"http://localhost:4000/browse.html#dating,%20dance"
"dating, dance, well-being",1,"http://localhost:4000/browse.html#dating,%20dance,%20well-being"
"dressmaking",1,"http://localhost:4000/browse.html#dressmaking"
"dyersburg (tenn.)",1,"http://localhost:4000/browse.html#dyersburg%20(tenn.)"
"education",6,"http://localhost:4000/browse.html#education"
"education, social life and customs--20th century",1,"http://localhost:4000/browse.html#education,%20social%20life%20and%20customs--20th%20century"
"electricity",2,"http://localhost:4000/browse.html#electricity"
"employment",1,"http://localhost:4000/browse.html#employment"
"endorsements",4,"http://localhost:4000/browse.html#endorsements"
"family",1,"http://localhost:4000/browse.html#family"
"farming",1,"http://localhost:4000/browse.html#farming"
"gasoline--taxation",3,"http://localhost:4000/browse.html#gasoline--taxation"
"gossip--social aspects",1,"http://localhost:4000/browse.html#gossip--social%20aspects"
"great depression, 1931",1,"http://localhost:4000/browse.html#great%20depression,%201931"
"grenada county (miss.)",2,"http://localhost:4000/browse.html#grenada%20county%20(miss.)"
"halloween",1,"http://localhost:4000/browse.html#halloween"
"harrison county (miss.)",1,"http://localhost:4000/browse.html#harrison%20county%20(miss.)"
"health",2,"http://localhost:4000/browse.html#health"
"high school",1,"http://localhost:4000/browse.html#high%20school"
"hinds county (miss.)",4,"http://localhost:4000/browse.html#hinds%20county%20(miss.)"
"hinds county, (miss.)",23,"http://localhost:4000/browse.html#hinds%20county,%20(miss.)"
"home economics",1,"http://localhost:4000/browse.html#home%20economics"
"home economics, rural",4,"http://localhost:4000/browse.html#home%20economics,%20rural"
"home economics, rural, social life and customs--20th century",1,"http://localhost:4000/browse.html#home%20economics,%20rural,%20social%20life%20and%20customs--20th%20century"
"homicide",1,"http://localhost:4000/browse.html#homicide"
"housekeeping",1,"http://localhost:4000/browse.html#housekeeping"
"ibsen, henrik, 1828-1906",1,"http://localhost:4000/browse.html#ibsen,%20henrik,%201828-1906"
"inauguration",1,"http://localhost:4000/browse.html#inauguration"
"influenza",1,"http://localhost:4000/browse.html#influenza"
"kemper county (miss.)",3,"http://localhost:4000/browse.html#kemper%20county%20(miss.)"
"lafayette county (miss).",1,"http://localhost:4000/browse.html#lafayette%20county%20(miss)."
"lafayette county (miss.)",2,"http://localhost:4000/browse.html#lafayette%20county%20(miss.)"
"land-warrants",1,"http://localhost:4000/browse.html#land-warrants"
"lee county (miss.)",2,"http://localhost:4000/browse.html#lee%20county%20(miss.)"
"leflore county (miss.)",1,"http://localhost:4000/browse.html#leflore%20county%20(miss.)"
"local elections",2,"http://localhost:4000/browse.html#local%20elections"
"loneliness",1,"http://localhost:4000/browse.html#loneliness"
"louisiana",1,"http://localhost:4000/browse.html#louisiana"
"love poetry, romance-language",1,"http://localhost:4000/browse.html#love%20poetry,%20romance-language"
"love-letters",1,"http://localhost:4000/browse.html#love-letters"
"lowndes county (miss.)",13,"http://localhost:4000/browse.html#lowndes%20county%20(miss.)"
"manners and customs",4,"http://localhost:4000/browse.html#manners%20and%20customs"
"medical care",1,"http://localhost:4000/browse.html#medical%20care"
"memphis (tenn.)",4,"http://localhost:4000/browse.html#memphis%20(tenn.)"
"memphis tn",5,"http://localhost:4000/browse.html#memphis%20tn"
"memphis tn</p>",2,"http://localhost:4000/browse.html#memphis%20tn%3C/p%3E"
"methodist church",1,"http://localhost:4000/browse.html#methodist%20church"
"methodists",1,"http://localhost:4000/browse.html#methodists"
"mississippi--politics and government",23,"http://localhost:4000/browse.html#mississippi--politics%20and%20government"
"money",1,"http://localhost:4000/browse.html#money"
"music in churches",1,"http://localhost:4000/browse.html#music%20in%20churches"
"nashville (tenn.)",1,"http://localhost:4000/browse.html#nashville%20(tenn.)"
"new york city",1,"http://localhost:4000/browse.html#new%20york%20city"
"pearl river county (miss.)",1,"http://localhost:4000/browse.html#pearl%20river%20county%20(miss.)"
"personal health",5,"http://localhost:4000/browse.html#personal%20health"
"pickwick dam (tenn.)",4,"http://localhost:4000/browse.html#pickwick%20dam%20(tenn.)"
"pike county (miss.)",13,"http://localhost:4000/browse.html#pike%20county%20(miss.)"
"poems",2,"http://localhost:4000/browse.html#poems"
"pontotoc county (miss.)",1,"http://localhost:4000/browse.html#pontotoc%20county%20(miss.)"
"postcards",1,"http://localhost:4000/browse.html#postcards"
"prohibition--united states--history",1,"http://localhost:4000/browse.html#prohibition--united%20states--history"
"rabies in dogs",1,"http://localhost:4000/browse.html#rabies%20in%20dogs"
"railroad travel",1,"http://localhost:4000/browse.html#railroad%20travel"
"relations with family",1,"http://localhost:4000/browse.html#relations%20with%20family"
"renovation (architecture)",1,"http://localhost:4000/browse.html#renovation%20(architecture)"
"report cards",2,"http://localhost:4000/browse.html#report%20cards"
"road surfacings",1,"http://localhost:4000/browse.html#road%20surfacings"
"roosevelt, theodore, 1887-1944",1,"http://localhost:4000/browse.html#roosevelt,%20theodore,%201887-1944"
"second-wave feminism",1,"http://localhost:4000/browse.html#second-wave%20feminism"
"selection and appointment",2,"http://localhost:4000/browse.html#selection%20and%20appointment"
"shelby county (tenn.)",2,"http://localhost:4000/browse.html#shelby%20county%20(tenn.)"
"sick",1,"http://localhost:4000/browse.html#sick"
"social life and customs",27,"http://localhost:4000/browse.html#social%20life%20and%20customs"
"social life and customs, church, weather",1,"http://localhost:4000/browse.html#social%20life%20and%20customs,%20church,%20weather"
"social life and customs, family, health, andwork",2,"http://localhost:4000/browse.html#social%20life%20and%20customs,%20family,%20health,%20andwork"
"social life and customs--20th century",5,"http://localhost:4000/browse.html#social%20life%20and%20customs--20th%20century"
"social life and sick",1,"http://localhost:4000/browse.html#social%20life%20and%20sick"
"social life, health/sickess, family, and martha",2,"http://localhost:4000/browse.html#social%20life,%20health/sickess,%20family,%20and%20martha"
"social life, health/sickness, christine's work and marha.",2,"http://localhost:4000/browse.html#social%20life,%20health/sickness,%20christine's%20work%20and%20marha."
"st. louis county (mo.)",2,"http://localhost:4000/browse.html#st.%20louis%20county%20(mo.)"
"state hospitals--management",1,"http://localhost:4000/browse.html#state%20hospitals--management"
"state-local tax relations",3,"http://localhost:4000/browse.html#state-local%20tax%20relations"
"stewart florida",1,"http://localhost:4000/browse.html#stewart%20florida"
"student newspapers and periodicals",1,"http://localhost:4000/browse.html#student%20newspapers%20and%20periodicals"
"student records",1,"http://localhost:4000/browse.html#student%20records"
"teaching",1,"http://localhost:4000/browse.html#teaching"
"tennessee",1,"http://localhost:4000/browse.html#tennessee"
"tennessee valley authority",1,"http://localhost:4000/browse.html#tennessee%20valley%20authority"
"terms of court",2,"http://localhost:4000/browse.html#terms%20of%20court"
"travel",12,"http://localhost:4000/browse.html#travel"
"union city (tenn.)",1,"http://localhost:4000/browse.html#union%20city%20(tenn.)"
"visiting teachers",1,"http://localhost:4000/browse.html#visiting%20teachers"
"washington, dc",2,"http://localhost:4000/browse.html#washington,%20dc"
"weather",5,"http://localhost:4000/browse.html#weather"
"webster county (miss.)",3,"http://localhost:4000/browse.html#webster%20county%20(miss.)"
"well-being",15,"http://localhost:4000/browse.html#well-being"
